用户名       ,时间                  ,问题内容,答案内容
ntcwer    ,2025-03-27 09:10:15 ,“史万岁”为什么推倒“诸葛亮”的纪功碑？,这感觉像史万岁为了平定南中叛乱而编出来的故事。。。。。。 诸葛亮之前就平定过南中叛乱（七擒孟获），而且这故事在南中可能流传很久了。 史万岁把诸葛亮搬出来，是想震慑一下南中的叛乱分子，如果他们畏惧的话，史万岁平定也能容易些。 至于这石碑。。。。。。就是个道具，上边写啥不重要，只要把史万岁和诸葛亮联系上目的就达到了。
ntcwer    ,2025-03-27 08:58:21 ,古代没有修正带和涂改液，那他们写错字怎么办？,竹简上的错字可以用刀刮掉，然后再写。 纸头上那就直接涂黑，在后边写，或者用其它材料（比如雌黄）覆盖在上边。 实际和现在的涂改方法差不了多少。
ntcwer    ,2025-03-26 10:45:37 ,晚上手机忽然收到地震报告，应该做什么?,像我家住南京的，基本上都是看下，因为南京不在断裂带上，因此不太会有大地震，地震是有，一般震级也不大。 有次山东的地震（2023年8月6日02时33分在山东德州市平原县（北纬37.16度，东经116.34度）发生5.5级地震）把我惊醒，我看到5.3级（当时报的是5.3级）都懵了，准备直接跳窗（1楼，外边是草丛）到空旷地带，然后一看震中在山东，就继续睡了。。。。。。
ntcwer    ,2025-03-26 10:12:02 ,在古今中外的历史中，有没有人在天崩开局的前提下，像朱元璋（开局一个破碗）那样把一手烂牌打好的？,东罗马帝国的狄奥多拉皇后 狄奥多拉的父母分别是驯熊师和舞女，而她本人是娼妓。。。。。。这开局足够天崩。 最终成为查士丁尼一世的皇后。 现在有关她的镶嵌画存于拉文纳的圣维塔莱教堂。
ntcwer    ,2025-03-26 09:32:24 ,魔兽争霸3各族有哪些底层设计上无法改变的弱点？,仅限老版本，重制版没怎么玩，后边的更新内容就不太清楚了。 ud：核心英雄只有dk，集火dk就容易被翻盘，另外ud大多是穷死的，开矿比较难，最后只能卖家一波。 人族：我觉得没啥大缺点，综合实力不错，不过前期、1本升2本以及开矿之间防骚扰的压力有些大。 兽族：空军弱，缺少魔法攻击单位，反魔法能力也弱。 暗夜：缺少力量型英雄（有小酒馆问题不大），另外白虎技能太废了，熊要三本才能出来，成型前部队前排抗线能力比较脆弱。
ntcwer    ,2025-03-26 09:23:02 ,古罗马海军是同时代最强大的海军吗？,算，因为古罗马征服迦太基、继业者国家、不列颠等地，海军还是发挥很大作用，不过当时古罗马海军实力还不是最强，有些战役需要陆军的支持，征服那些地区，并且吸收对方海军技术后，至少是欧洲最强的海军。 另外古罗马海军大多在地中海作战，没有和其它地区的海军较量过，所以是不是同时代最强就不清楚了。
ntcwer    ,2025-03-25 14:07:45 ,14 岁男孩遭蜂群攻击，4 名路人挺身而出将其救下，蜂群为何会攻击人？遇到这种情况怎么应对？,这种情况一般是惊扰到蜂群，那就只有跑，跑得越远越好。 别跳河，因为根本就不清楚河水情况，容易因为水位过高淹死或者因为水位过低摔伤。
ntcwer    ,2025-03-25 10:27:10 ,如果二战流行路行舰和巨型飞船，那这两种单位归IJN管还是归IJA管？,为IJN造的就归IJN管，为IJA造的就归IJA管。 螺丝是反着拧的，零件不通用，在战场上见面，双方先互骂对方，然后再说。。。。。。
ntcwer    ,2025-03-25 10:22:34 ,墨索里尼为什么不和克拉拉·贝塔西结婚？,不清楚，大概是已经有妻子和孩子了，外边玩得花点无所谓，但是要结婚就要付出更多，而且墨索里尼情人不止克拉拉·贝塔西这一个，结婚不如继续保持情人关系。 墨索里尼这点和希特勒不同，感情方面玩得非常花。。。。。。
ntcwer    ,2025-03-25 08:54:48 ,大家支持我学生的造山引暖的地理计划及让该动物泛滥全国吗（仔细阅读↓）?,那个。。。。。。还是在长城上贴瓷砖吧，好歹有点可行性。。。。。。
ntcwer    ,2025-03-21 11:34:16 ,不说地名，用一句诗证明你是哪个省的？,“残花旧宅悲江令，落日青山吊谢公。” 一个地名都没有出现，但是江令（江淹，字文通。南朝政治家、文学家），谢公（谢安），这两人一出现，再加上南朝和东晋，那么总会想起一个一比吊糟的地方。。。。。。 这句诗出自韦庄的《上元县》，上元县，是南京自唐朝起下辖的一个县，上元也是唐朝时期南京的称呼之一。上元县与江宁县同城而治，同为南京的母县，于1912年（民国元年）撤废上元县，并入江宁县。 全文如下： 南朝三十六英雄，角逐兴亡尽此中。 有国有家皆是梦，为龙为虎亦成空。 残花旧宅悲江令，落日青山吊谢公。 止竟霸图何物在，石麟无主卧秋风。
ntcwer    ,2025-03-21 10:15:45 ,魔兽争霸总是报错；这个错误谁见过？谁知道什么意思？怎么解决？,我用win11玩魔兽争霸3（1.26版本和重制版，都没有用兼容性运行）没见过这个错误。 要不你重新下个魔兽争霸3的客户端。
ntcwer    ,2025-03-21 09:25:31 ,魔兽世界11.1的8层地下堡奶萨到底要怎么打？,铜须T被砍了。。。。。。 建议切元素或者增强，然后铜须选奶妈。 当然我没怎么试过用dps，因为dk可以切t，t相对简单点。第二赛季刚开时4-6层用过冰dk，6层时打得已经很勉强，后边的7-8层就改回血dk了。
ntcwer    ,2025-03-21 09:01:43 ,如果司马师还政于曹芳，司马懿的后世风评会有怎样的变化？,那司马懿就真变成魏国忠臣了，甚至杀曹爽一事都能翻篇。
ntcwer    ,2025-03-21 08:59:03 ,如果曹操在有生之年一统三国，那么假设你是他的嫡子并继承帝位，你该怎么在史书里面洗白他当年的那些黑料？,最好的办法是不洗白，但是这些事情在史书中一笔带过。 屠城可以参考刘邦这样写： 《高祖本纪》：“齐军归，楚独追北，使沛公、项羽别攻城阳，屠之。” “南攻颍阳，屠之。因张良遂略韩地轘辕。” “及刘贾入楚地，围寿春，汉王败固陵，乃使使者召大司马周殷举九江兵而迎武王，行屠城父，随刘贾、齐梁诸侯皆大会垓下。” 至于杀吕伯奢一家、边让、伏皇后，就写那些人意图谋害曹操，然后被杀就行。 一炮害三贤，可以写曹操轻敌，着重描写张绣的阴谋诡计，以及之后张绣投降曹操时，曹操不计前嫌。
ntcwer    ,2025-03-20 12:10:30 ,在 Win 显示器设置选项中，「调低分辨率」和「调高缩放比例」，哪个文字显示效果好一些？,调高缩放比例会好一点，调低分辨率文字显示就会变模糊。 一般建议把屏幕分辨率调至最大，然后选调高缩放比例。
ntcwer    ,2025-03-20 10:00:48 ,男孩子四岁，非常入迷奥特曼，怎么办？,那就带着他一起看奥特曼。。。。。。 我爸当年就是搬个板凳和我一起看奥特曼（93年正好奥特曼引进到国内）。
ntcwer    ,2025-03-20 09:58:08 ,中国古代的国力同期对比是什么样的呢？下列回答是否符合史实？,夏、商、周和同时期文明国家综合国力相当。 秦到唐朝，除了朝代末期、五胡乱华等情况下，基本上是第一的位置，东汉时期和罗马帝国并列第一。 唐朝安史之乱后，我国开始走下坡路。宋朝经济是第一，但是军事上被外族吊打，整体实力开始下降。明朝在中前期还处于领先位置，但是后期逐渐被欧洲国家反超。 元、清时期我国处于亡国状态，是蒙古人和满人的巅峰时期，对汉人来说，综合国力垫底。
ntcwer    ,2025-03-20 09:25:41 ,如果在东吴宴会上孙权对刘备动手，他的可能性有多大啊？毕竟有500刀斧手。?,贾华：要杀我直说。。。。。。（大雾） 没有可能性，因为刘备直接向吴国太挑明了孙权想杀他，把阴谋诡计放在明面上，孙权不太会承认，也没脸面去继续执行了。而且摔杯为号的是吴国太。。。。。。 当然就算500刀斧手真的动手，刘备可是和吕布对战过，再加上赵云，开无双这点人真的不够打。。。。。。
ntcwer    ,2025-03-20 09:15:48 ,你的折叠屏手机是「主力机」还是「备用机」？哪些功能让你直呼「买对了」？又有哪些痛点让你吐槽？,1.我的小米mix fold2是备用机，主力机是小米14U。 2.看重的配置是soc，因为是骁龙8+，相对于11u的火龙888来说好太多。另外和主力机是同一品牌的，可以更好地辅助。 3.没有，用了后发现。。。。。。大屏设备我有平板。。。。。。玩游戏我有steamdeck。。。。。。办公有笔记本。。。。。。使用场景完全没有。 4.带了外壳后太厚了，而且比11u还重，这个手感就很不好。 5.由于买折叠屏是为了体验一下，所以不太会重选，也不会优先升级什么，后边买手机会直接选择直板机。
ntcwer    ,2025-03-19 09:09:24 ,电鳗究竟是如何形成和演化的？为什么很多处于水中食物链顶端的生物都拿它没办法？它的科技树是怎么点的？,电鳗的演化历程体现了生物为适应环境而进行的极端特化，其核心特征——高压放电能力的形成经历了长达数亿年的进化历程，主要可分为以下关键阶段： 一、起源与早期演化 \u200c祖先形态\u200c 电鳗的祖先可追溯至1.6亿年前的白垩纪，最初形态为类鳗鱼生物\u200c。其与鲶鱼亲缘关系更近，表明发电能力是在进化过程中独立演化出的特征\u200c。 淡水适应\u200c 原始电鳗从海洋向淡水迁徙，逐渐适应亚马逊流域的浑浊水域环境。其眼睛退化，转而发展出通过微弱电流感知环境的生物电定位系统\u200c。 二、放电系统的演化路径 \u200c发电器官的形成\u200c 细胞特化\u200c：肌肉细胞经基因突变（钠钾泵基因的3处特异性突变）转化为发电细胞（电细胞），每个细胞可产生0.15伏电压\u200c。 \u200c结构优化\u200c：约6000-10000个电细胞串联排列于尾部，形成生物电路，总电压可达800伏以上\u200c。 \u200c功能分阶段升级\u200c 2500万年前\u200c：放电能力初现（约20伏），主要用于环境感知\u200c。 \u200c800万年前\u200c：电压提升至200伏，具备初步捕食功能\u200c。 \u200c300万年前\u200c：高压放电（860伏）完全形成，与亚马逊流域大型掠食者（如凯门鳄）的出现时期吻合\u200c。 三、结构与行为的协同适应 \u200c身体结构重组\u200c 内脏集中于头部，尾部80%的体长被发电器官占据，骨骼与肌肉系统同步调整以支持高强度放电。 生存策略进化\u200c 捕食与防御\u200c：通过瞬时放电击晕猎物或威慑天敌，甚至能与鳄鱼同归于尽\u200c。 \u200c能量效率\u200c：发电细胞利用“分子弹簧”结构实现95%的化学-电能转化效率，远超人类发电技术\u200c。 四、现代生存挑战 尽管历经两亿年演化成为淡水顶级掠食者，电鳗因人类过度捕捞（其肉质被视为美味）及栖息地破坏，种群数量锐减，面临濒危风险\u200c。这一现象凸显了生物演化优势与现代生态压力之间的尖锐矛盾。 以上是用deepseek查的结果，可以得知电鳗开始会放电，是新生代后才演化出的特征\u200c。电鳗祖先在白垩纪就出现，原来生活在海洋，电鳗演化出放电最初是为了适应亚马逊流域的浑浊水域环境。然后逐步演化成捕食的辅助手段，最后演化为防御手段。 电鳗放电就是为了防御水中食物链顶端的生物，所以这些生物大多拿电鳗没啥办法，因为在水里这些生物无法绝缘，高压电击非常有效。当然像鳄鱼偷袭的话可以成功捕食，但是电鳗一旦反应过来，就会变成同归于尽（电鳗被咬后受到致命伤，不是死于自身电击）。
ntcwer    ,2025-03-18 16:28:45 ,普通用户能体会到 CPU 的性能差距吗？,能 因为我家买台式机都是跨越n代的。。。。。。。 第一台台式机是486 第二台是Intel Core 2 Duo 第三台是Intel Core i9-10900kf 这样的CPU的性能差距非常明显。。。。。。属于是个人都能看出来，因为差距太大了。。。。。。
ntcwer    ,2025-03-18 11:42:22 ,如果在夷陵之战时，陆逊放火就碰见老天爷下暴雨，刘备能否趁势反击，一举反败为胜？,刘备没法获胜。 蜀军孤军深入，而且疫病流行，东吴的水军基本上控制长江水道，蜀军补给困难。在这样的情况下能够和本土作战的吴军对峙已经很不容易了。 陆逊放火也是在进攻时利用火势分割蜀军，就算火被暴雨浇灭，水势大涨也对吴军有利，水军就可以支援陆军，蜀军将遭到吴军水陆合攻，一样会崩溃。
ntcwer    ,2025-03-18 11:24:12 ,windowS11单语言版是否可以升级到英文版?,升级到专业版就行，专业版可以更改系统语言，支持多种显示语言。点击下图这边的更改产品密钥，然后找个专业版的升级密钥就可以升级，要重新激活系统。 如果上边方法不行的话，那就只能下载一个Windows 11专业版的镜像重新安装了，系统还是要重新激活。
ntcwer    ,2025-03-17 09:37:41 ,晋楚大战之地“成濮”在哪？,在山东省菏泽市鄄城西南的临濮集一带。
ntcwer    ,2025-03-17 09:33:36 ,成年老虎和成年河马的咬合力谁更强？在双方都有准备的前提下，一只成年老虎能否单独猎杀一只成年河马？,咬合力肯定是河马更强，成年老虎猎杀有准备的河马基本是上不可能。 成年老虎最多能猎杀下小河马，成年河马而且还是有准备的情况下，老虎很难咬伤皮糙肉厚的河马，还很容易被河马咬伤，如果老虎在受伤状态下被带到水里，容易被鳄鱼偷袭。
ntcwer    ,2025-03-17 09:28:43 ,从大屏换小屏手机有什么感受？,主要是我手上小屏手机（不包括翻盖手机、功能机之类的）均不是全面屏的，买的时间有的也比较早，所以明显是屏占比不如其它大屏手机，而且性能上也不行，除了非常轻薄外，没啥别的感受。 小屏手机如下： 1.Lumia 640：5.0英寸 2.Lumia 950XL：5.7英寸 3.魅族pro7 plus：5.7英寸 4.Google  Pixel 3a XL：6.0英寸 5.荣耀6 plus：5.5英寸 6.索尼爱立信 LT15i：4.2英寸
ntcwer    ,2025-03-14 09:33:51 ,假设二战时期各国海军都有战舰世界里的十级船，那么对海战会有什么变化?,德国的大猴子直接和英战征服者、雷神等近身搏斗，英战在被动放火，提子在旁边放鱼雷，蒙一个是一个。。。。。。俾斯麦在追胡德。。。。。。法军的大共在远处看戏。 日本海军这边没啥变化，白龙被茫茫多的饺子级击沉了，大和和武藏也被击沉，其它的也一点优势都没有，毕竟日本那个穷光蛋帝国主义玩不过美国。
ntcwer    ,2025-03-13 10:43:14 ,西湖醋鱼为什么会难吃？,和草鱼有关系，草鱼土腥味非常重，因此需要用重料来压制住土腥味。 南京这边也就做酸菜鱼、酸汤鱼等才会用到草鱼，后边估计也发现草鱼味道不理想，开始使用青鱼、黑鱼、龙利鱼、巴沙鱼等来做。 西湖醋鱼应该也是同样的问题，草鱼土腥味用醋压不住，那肯定不好吃。。。。。。
ntcwer    ,2025-03-13 09:19:31 ,某公司开会 领导从下午4点骂到晚上10点，骂着骂着突发心脏病倒在地上，其他同事应不应该施救？,先打急救电话吧，然后看戏。 消防通道和停车场门口堵满僵尸车，电梯全部停运，大楼灯全关了，问就是电路故障。 急救人员进入大楼要走个流程，进公司大门也需要，把“人”带走也要，不是电路故障嘛，电脑开机要等一段时间。 还能活着算他命大。。。。。。 至于为什么不上去急救，只打急救电话。 “我是跟乡民进来看热闹的，只不过是往前站了一点，我退后就是了！”
ntcwer    ,2025-03-13 09:13:59 ,如果你是董卓，面对司徒王允献你貂蝉，为了江山当如何破局？,演义的话好办，那就把貂蝉赐给吕布，然后寻机除掉王允和其它大臣，逼汉帝禅位，这样董卓可以先割据，守好关隘，然后等诸侯打得头破血流后，再出兵一个个剿灭。
ntcwer    ,2025-03-13 09:03:26 ,你在《魔兽世界》死得最奇葩的一次是怎么死的？,有一次不知道是啥bug，在诺森德的灰熊丘陵的一座山上打怪做任务，然后网卡了掉线，再上线后角色在空中往远处飘落，等飘到嚎风峡湾触地就挂了。。。。。。
ntcwer    ,2025-03-12 10:45:22 ,如何看待最近抖音上许多在南京看樱花的内容?,樱花（Prunus subg. Cerasus sp.）是蔷薇科、樱亚属植物。是观赏价值的一类植物的统称。樱花品种相当繁多，数目有300种以上，全世界共有野生樱花约150种， 中国有50多种 。全世界约40种樱花类植物野生种祖先中， 原产于中国的有33种。 。。。。。。。 南京的樱花品种包括国产樱花品种，如胭脂绯和飞寒樱。\u200c 胭脂绯是我国科研人员自主选育的国产樱花品种，其花色绯红亮丽，树形开散，观赏价值较高，花期一般在三月上旬\u200c。飞寒樱则是钟花樱桃和山樱花的杂交品种，花瓣呈粉色，花期比普通樱花早一个星期左右，生长速度快，适应性较强，是我国种植面积最广的国产樱花品种之一\u200c。此外，南京还有其他国产樱花品种如初美人樱、牡丹樱、大寒樱、大渔樱、河津樱、迎春樱、红垂枝樱等，这些品种在南京的樱花季中也有出色的表现\u200c。 谁告诉你樱花都是日本的。。。。。。。
ntcwer    ,2025-03-12 10:27:53 ,什么样的船适合被命名为皮皮虾号？,我在navalart里设计的大型导弹驱逐舰（也可以算导弹巡洋舰），代号为“奇虾”（也可以叫恐虾）。 皮皮虾大概率会是常规驱逐舰的代号。 航母和战列舰的代号要么是纯数字，要么是海生爬行动物，皮皮虾轮不上。
ntcwer    ,2025-03-12 10:22:42 ,现今大部分哺乳动物都是六千万年前恐龙灭绝后的同一种哺乳动物的后代吗？,不是，哺乳动物在恐龙时代前就已经开始分化，但是由于伪鳄类和恐龙太过于强势，大部分哺乳动物只能躲在地下，这导致它们趋同进化成耗子模样，俗称“散装耗子”。 白垩纪时期，也有一些哺乳动物挤入大型恐龙空缺的生态位中，与鸟翼类恐龙竞争。
ntcwer    ,2025-03-12 10:12:02 ,3 月 7 日台军一艘导弹护卫舰突发爆炸事故，可能是哪些环节出现问题？,大概是军舰服役时间过长，主炮年久失修造成的。。。。。。 奥托·梅莱拉76mm舰炮已经是很老的炮了，如果维护不当，炸膛就不奇怪了。
ntcwer    ,2025-03-12 09:29:40 ,如果桓温与陈霸先一样过了几年皇帝瘾，他死后会怎么样！?,王谢两家与他不合，如果桓温独立称帝，容易被东晋朝廷和北方异族政权夹击。淝水之战苻坚能打赢，但是要进一步攻打东晋的话，很难突破长江天险，而且前秦内部也不稳定，一旦失利，就会土崩瓦解。 他死后他的子孙很难维持住局面，毕竟刘裕不好对付。还不如不称帝，这样能维持他在现实的结局：追赠丞相，谥号宣武公，丧礼依照司马孚、霍光旧例，又赐九旒鸾辂、黄屋左纛。至少这个结局还算行，总比桓玄要好。
ntcwer    ,2025-03-12 09:11:25 ,如果你是曹叡，会如何评价新“帝国双璧”满宠和司马懿对吴蜀的战绩？,他们两人肯定是魏国的中流砥柱，司马懿阻止了蜀汉的北伐，满宠也阻止了吴国的进攻。 两线作战都赢了，可不得大夸特夸。。。。。。 如果我是曹叡，这两都能封为异姓王了。
ntcwer    ,2025-03-11 09:16:36 ,30岁还在玩魔兽世界，是什么心态?,我35了，玩魔兽就当个乐子人。。。。。。。 大号刷地下堡，以及8.0和9.0的副本。 小号刷7.0以前的副本。 今天玩部落，明天联盟起个号cos血色十字军。。。。。。 实在不想去副本，还能游戏里钓鱼，捉小宠物，半山种菜。 魔兽世界有个好处就是你想怎么玩就怎么玩，不需要在乎别人的看法。。。。。。
ntcwer    ,2025-03-11 09:07:36 ,为什么现在许多人的手机，都不再贴膜了?,感觉和屏下指纹和超声波指纹普及有关系，如果钢化膜太厚可能会有影响。 另外大部分手机出厂自带的膜就够用了，足够用到手机退役。（主力手机一部用个3-4年也差不多了）现在手机的屏幕也比以前耐摔了。 由于我的主力手机（华为mate40pro和小米14u）都摔坏过外屏，所以还是会贴膜，不过都是自己贴的。
ntcwer    ,2025-03-11 08:55:40 ,如果海军舰艇再扩大一倍，怎么命名啊?,没地级市还可以用县级市，后边可以用区，再后边可以用古代城市名称，再往后前边的该退役了，名字就空出来了。
ntcwer    ,2025-03-11 08:52:07 ,黄巾起义要是没失败起码形成一个割据政权的话，政治制度会是什么样的?,政治制度肯定是照抄东汉的，因为没有什么参考对象，以黄巾军的能力也创造不出更先进的政治制度。黄巾军割据范围内的士族会被赶尽杀绝，然后黄巾军高层占据他们的位置。（有部分士族会逃亡，加入其他割据势力）经济上前期可能可以做到“耕者有其田”，但是后期也逃不过土地兼并的命运。 结局要么是被更强大的割据势力消灭，要么是内乱自我消亡，他们宗教那套压根就站不住脚。
ntcwer    ,2025-03-10 14:25:28 ,以拿战时期的技术能否制造马克沁机枪与后膛加农炮？,击发枪在拿破仑时代已经出现，但是没有完善，不过应该也能整个机枪出来，可以参考帕克尔转膛枪。18世纪初帕克尔转膛枪已经诞生，而且英国人用这种枪打过法国人。 后膛加农炮应该也不难吧，像弗朗机炮就属于后膛炮，所以技术上没啥问题。
ntcwer    ,2025-03-10 12:21:09 ,你觉得魔兽世界11.1好玩吗？,安德麦地图有些阴间，地图小不说，飙车经常跑出街道，然后撞在路边，后来忍无可忍换其它坐骑。。。。。。有些地方怪还扎堆，经常跑着跑着就引到怪，然后被围殴。。。。。。。 第二赛季开了后，就回到其它地图去刷地下堡了，其中4-6层用冰dk就能打过，7-8层用血dk打过。感觉地下堡难度没怎么变化，比较适合休闲玩家。（注：第二赛季开始前，dk号装等只有600出头）
ntcwer    ,2025-03-10 12:10:28 ,中国古代怎么投降的？,子婴这次是最经典的：“子婴即系颈以组，白马素车，奉天子玺符，降轵道旁。” 后边的帝王投降仪式基本上是有样学样，有时候会加上一些行为艺术，比如自缚、带着棺材等。 白旗最早作为投降用是出现在古罗马，然后我国也开始用了（用的是白幡），这点倒是趋同。
ntcwer    ,2025-03-10 09:43:21 ,睡前看手机，你没有被手机砸到过脸？,我不仅被手机砸过，还被平板砸过，不过看的时间很短就入睡了。
ntcwer    ,2025-03-06 10:34:21 ,三国演义中，“白马斩颜良”、“威震逍遥津”、“定军斩夏侯”，从纯军事角度看这三种情况哪种含金量更高？,从结果来看，“定军斩夏侯”含金量高一些，因为拿下汉中，蜀汉拥有北伐的前哨站，如果配合荆州的关羽，那就能完成“隆中对”的战略设想。夏侯渊其实不应该亲自去救火以及修补鹿角，而是派人去，只要夏侯渊不死，魏军不会大乱，稳住阵脚后求援于曹操，等援军到来，或许有转机。 “白马斩颜良”只是让袁绍损失大将，在当时的情况下并未改变战局。颜良是被偷袭的，这个也不是没办法防，首先袁军分兵延津也可以，白马要做好防御的准备，颜良固守白马，不要出去迎敌。 颜良和夏侯渊的问题是一模一样，解法也类似，翻盘不一定，但是不至于杀身丧命。 “威震逍遥津”这个玩梗的更多，结果上曹军也没能击杀孙权，或者渡江灭了东吴，东吴也无力伐魏。是以少胜多的典型战例，战略上也影响了东吴的后续策略。这仗就是东吴打不过，没啥翻盘的可能，除非魏军上船，水战东吴才有胜算。
ntcwer    ,2025-03-06 10:08:28 ,明清皇帝如果想强占藩属国朝鲜的王后，朝鲜国王会答应吗？,这得看朝鲜国王的骨气了，硬气点的直接反了，打输了再说。软弱点的会答应，然后背后骂街。
ntcwer    ,2025-03-06 10:05:07 ,北魏孝文帝力行汉化，而忽略了对代北六镇的安抚，是不是可以说，他对北魏的灭亡负有不可推卸的责任？,北魏分裂和灭亡与孝文帝改革没啥关系。不过元宏、元恪都英年早逝，这个对北魏政局有深远影响。 后边元诩和胡太后争权，北魏政局不稳，再加上错误的政策，导致六镇起义，平定起义后，北魏一蹶不振。因为六镇问题，尔朱荣势力做大，这导致了河阴之变，结果是高欢和宇文泰崛起，北魏分裂，最后被北齐和北周取代。 感觉元诩和胡太后才应该背这个锅。。。。。。
ntcwer    ,2025-03-06 09:42:28 ,折家将的地盘成为后周和北宋的飞地，为什么没有被北汉或辽国吞并？,辽国目标还是中原，如果能击败北周和北宋，那么折家将只有投降或者死磕，到那时再收拾也不迟。而且折家将起兵就是因为契丹南侵，辽国如果能打过早就打了。 北汉算辽国的小弟，还得面对后周和北宋，完全腾不出手，也没有自主出兵的能力。
ntcwer    ,2025-03-06 09:29:53 ,为什么欧美科学家这么执着于复活猛犸象？,主要是猛犸象有完整的标本在冻土层中发现，灭绝时间也相对较晚，并且能够提取到DNA。 另外克隆技术有发展，这也提供了复活的可能。
ntcwer    ,2025-03-05 10:54:11 ,如何看待“高欢”为国当鸭而迎娶“蠕蠕公主”？,高欢是不得不和柔然“和亲”，要不然柔然联合西魏进攻东魏（北齐），高欢根本扛不住。 能够稳住柔然这头的话，对高欢来说就只要面对西魏这一个敌人了。“为国当鸭”只能说是个调侃罢了。
ntcwer    ,2025-03-03 12:24:09 ,为什么南京人喜欢称“朝天宫”，外地游客喜欢称“南京市博物馆”？后者不是很容易和南京博物院混淆吗？,因为南京市博物馆是在朝天宫里边，朝天宫指代的是那一块地方，参考百度地图，可以看到朝天宫的范围很大，南京市博物馆只是其中一部分。 不过外地游客确实容易混淆，一字之差地点就不一样了。不过也好记，南京博物院离中山门不远，南京市博物馆在市区里。 另外冶城位于朝天宫一带，是春秋末年吴王夫差在今南京城西的一个小土山上筑起一座土城，也是南京“城”的胚胎。
ntcwer    ,2025-03-03 10:23:49 ,武则天喜欢以天降符瑞增强自身天命，却有李昭德和杜景俭打假，前者为什么没有把后者怎么样？,李昭德有些倒霉，和来俊臣一起被斩了，不过被杀原因和打假天降符瑞没啥关系，杜景俭倒是善终。 武则天登基前、登基前中期对天降符瑞非常在乎，但是中后期也无所谓了，也知道这些都是人造的，毕竟通过这些手段已经达到巩固帝位的目的，已经不需要这些手段来增强自身天命，所以这两人也就不会因此被杀。 可惜李昭德赶上了武则天另外一个巩固帝位的手段--滥用酷吏。。。。。。结果被诬告，然后被杀。。。。。。只能说虽然武则天当时已经不想继续用酷吏了，但是你有谋反的嫌疑，那你只能去死。。。。。。
